,class_names,class_date,class_link
0,1. Pre-history Class 1,"18 Jun, 2024",https://us06web.zoom.us/rec/share/jG3pGyrTq3mDrepKIcwzA7jD7vYL2ZsT545TyNzhVb8_28P6DhxGpUAU594AmSgp.2qFTFzXf7aiaLini
1,2. Pre-history Class 2,"19 Jun, 2024",https://us06web.zoom.us/rec/share/9cFDvzFA35-sSY-_qhh-F_TW8fJ299Q5G0av5CoR3qAHirnajdXpyjx58SqSf2wr.lmDQhVv5l1_dbUbv
2,3. IVC part 1,"20 Jun, 2024",https://us06web.zoom.us/rec/share/OFiLbcYNrKTpkqquINg4IVzGv2dPlJk4Pe-r-hUESeyvq5zaBEN1CQVAwkM7ISjH.Bzgwpuw1fzg5Rtow
3,4. IVC part 2,"21 Jun, 2024",https://us06web.zoom.us/rec/share/0bknYnrrW5LSd7hSctfVJ8prPwNtWNu4n4RgAACPlfgk4V9lvKj4iP-BlUjT9dl7.TRlrtHhuZ3oA3XGO
4,5. Vedic age part 1,"22 Jun, 2024",https://us06web.zoom.us/rec/share/31saPX8ifx95mdJ7BMxSElv1-Y4e3pJPDvit_JntHopiMJsxXNZjrBPETYTUknQ_.bkUsLCafaB0ychEq
5,6. Vedic Age part 2,"24 Jun, 2024",https://us06web.zoom.us/rec/share/gHAiC6NzKihiuyakrAA5m8tfzeaoAUpYgp9RbFsi5cvHHsLhNvr93IepzsNWkHBo.ZsAZAMgoMyiSs8bB
6,7. Vedic Age part 3,"25 Jun, 2024",https://us06web.zoom.us/rec/share/ZKhMI7aEBhM8bUWhegTHIqFD2qfHgO7agDmqLRufbRGiljoIZ_ufHXlAloOhd68Y.F62dMj_8muPXL3Ao
7,8. Mahajanapadas Class 1,"26 Jun, 2024",https://us06web.zoom.us/rec/share/wDf8cSayU-A-ktNiXFBEniZaREF7YBoTq5SdbHSLrB8vKl7NP2NpNUW9Ub-c-2VB.ArHZuVYwoY0SsnNK
8,9. Mahajanapadas + Magadh Dynasties,"27 Jun, 2024",https://us06web.zoom.us/rec/share/Hi0_6YzJMdMw97x-OhIVllyelmzAr3wfZ_s5-LSQOW4IkZXA-fQCWWslaTCvqCPW.NV2uXDQnHlXZNZOv
9,10. Doubt Session,"27 Jun, 2024",https://us06web.zoom.us/rec/share/Hi0_6YzJMdMw97x-OhIVllyelmzAr3wfZ_s5-LSQOW4IkZXA-fQCWWslaTCvqCPW.NV2uXDQnHlXZNZOv
10,11. Magadh Dynasties Part 2,"27 Jun, 2024",https://us06web.zoom.us/rec/share/qkfgxwq1gKHpVIDEiLCzJTKj6-eUewtR_DHjqzJE3kqjmdTOxsxN9tZW4GVnc7ON.FXUXo1o59qjI8ydv
11,12. Revision Class (Prehistory+ IVC+ Vedic Age),"28 Jun, 2024",https://us06web.zoom.us/rec/share/YiGvYnB12ojoKfAkHcQPoaM4TLH9Xxkkum-Gya5ii_CfNmDiinwe5YX1vmpbAMxq.E4qhcsrzLA_CnJL-
12,13. Buddhism,"28 Jun, 2024",https://us06web.zoom.us/rec/share/YiGvYnB12ojoKfAkHcQPoaM4TLH9Xxkkum-Gya5ii_CfNmDiinwe5YX1vmpbAMxq.E4qhcsrzLA_CnJL-
13,14. Buddhism Class 2,"28 Jun, 2024",https://us06web.zoom.us/rec/share/pdfZ2Dh1OBAypqNTOYEzP5dNOmictESW5kgxuTyaP9-P1yDtEbCwoxVtEVLLSutd.6lCLiLj6ceQs2OcT
14,15. Jainism,"29 Jun, 2024",https://us06web.zoom.us/rec/share/8QyZuMAKP27AniqGJGS2i4mHjdm5CQ9YMumtQH0vH0BsoiMwGVomuNdAIzbTDbv3.1HVpG5P934wavEIT
15,16. Chandragupta ka chamatkar,"01 Jul, 2024",https://us06web.zoom.us/rec/share/tXjha0Qs-nqb32McDbiWcYJafnVZE9AGRBiqkAg1zAqBCSVnTKH9BJAkfZeOSgQH.IueW2BZqnX7pgqQI
16,17. Mauryan Empire part 2,"02 Jul, 2024",https://us06web.zoom.us/rec/share/9mmTL8GNpjIBksFDMLNhZxM4C-apIy7vz17rmSAx09U-5NouuBZYLtydNsFQkKZf.l499TZwBOaOynfCa
17,18. Post-Mauryan Empire,"03 Jul, 2024",https://us06web.zoom.us/rec/share/xf9_mXxsFTnxJi_VHISOVrbH_q0wdwblkwfIu2NEqPOelB6spLSz1IKFQb-jBMk-.RGR-Bi1YJ_XIZvHe
18,19. Kushan + Satvahana,"04 Jul, 2024",https://us06web.zoom.us/rec/share/62RNT2eSI_c2o-xjhyOf-niUOQ3avkhtsT3iKxzEVs3AYmpOFDQCPwqa4UPvSjMl.lnSblsWaH_tGLTfy
19,20. Sangam age+ PYQs,"05 Jul, 2024",https://us06web.zoom.us/rec/share/JmhST9X74w01R6yIzmWubKpwL_3rPWe8UQCod8_itL8n-eYUqa5w3F6644P93vFl.3nk93Ww1eokmsa4n
20,21. Gupta Period,"06 Jul, 2024",https://us06web.zoom.us/rec/share/OFdH1FnuxbJBUl3Nq7gbo6fkpR-GzQjOWhO-fwAeqFHksNyILmUmgQm2INSsQoY.V9CwLBqzcn0iGaL6
21,22. Post Gupta Period,"09 Jul, 2024",https://us06web.zoom.us/rec/share/TG6AGC7puwxHs8QW6MfHDu_cqsGrlP1CIEW7c8tOcSHFGoSzYNpxVBZCOsgVx2-F.I_anlZTxAV65DMzx
