,class_names,class_date,class_link
0,1. Basics - Clause + Phrase + Subject + Predicate,"21 May, 2024",https://us06web.zoom.us/rec/share/BrzhkPbe3xA4WaIBIf8GC5R4s8EM8h7vB8wCCAkM-OVJRgqusUQ9wFertIHgIMUn.iLWnx9_tw_8g2u6t
1,2. Identification of Parts of speech,"22 May, 2024",https://us06web.zoom.us/rec/share/85o76I7mKTVcQ1brqhg46nVrT0vngykW7yTvZFIV3SOjVi4KbIs6QrshN1Gnjgds.WOnafJVpqeaWRWye
2,3. Gerund + Participle + POS Khatm,"22 May, 2024",https://us06web.zoom.us/rec/share/KakHZGLjGv3b3y35o38dKaSO6-iUPYsqFqLSMlgeTR3iuJzm6lEsrKhZW_bTjINQ.ykiaLvw1Jbk1yX5G
3,4. Parts of speech practice class,"24 May, 2024",https://us06web.zoom.us/rec/share/Ea_vBCqIECzVXAQPqk808TT1Ecnmuc2K1hBg8vg22ZPiM30Azobzcp6cv7xwlM0.vjVUTDSMaLKvRujh
4,5. S1-S6 basics and ways,"27 May, 2024",https://us06web.zoom.us/rec/share/mBvKDX93FSBab8_063RtjIHQmVIoh7ww_cRepYByS5bOX4raoLETRnvokNQM9zPS.xfV5gIqoRGuIG49x
5,6. Rules ka warmup,"29 May, 2024",https://us06web.zoom.us/rec/share/qkZ9nVpIK1N0Y9mcRMR4TLtxIBk0xCNHkzVe91R4XiE2RH7DaWUVEz-_mGtpvU_J.cAAPEbhJrUohIECX
6,7. Tense ki baatein - Class 1,"30 May, 2024",https://us06web.zoom.us/rec/share/28UeGLRd_S6ocSiTf0DqY5vHYgj7E3n5iqb26lEoNejg19dnaoYyiRisiqnoY0Ex.Bx2CgDgBsKKhWsmW
7,8. Tense Samapt,"31 May, 2024",https://us06web.zoom.us/rec/share/SZw6ipV6ZzOdpMomYLEKgzkL58rC1h3LY8vFx7Px_J3lF_aIeanD45Oqeg8N1a77.jW5jWTRy8V966RGs
8,9. Tense based practice class,"03 Jun, 2024",https://us06web.zoom.us/rec/share/uOKLmtQ-CRxKnWT31XCIL0iVKN-qEHbtTfXxpt_4xKJpriaO7cxD3b3suB14suy4.ggplHxADDKveXs20
9,10. Preposition,"04 Jun, 2024",https://us06web.zoom.us/rec/share/0wtv8nDVQqhFFFT31c2BnFzAlb5i68CZmhCLGB8havWaXjJ8Co1vZdegwqOtD7WJ.2wDQG3OkpcLAAHmK
10,11. Baby pe julm - Preposition,"05 Jun, 2024",https://us06web.zoom.us/rec/share/GsXXE2Bb9PH89WGce7bu6nzYd0bQC1DrrqOuouR8HdoP2oGUT1XW2jwcOW7oL5bY.c1g9gOrV9qOCi_g9
11,12. Preposition ke pyare rules + Practise,"06 Jun, 2024",https://us06web.zoom.us/rec/share/NTTfQEQTjrinA4JjP33I2WddZJWHJ-kGV4f6-m5uKyP-DhpDKMyj5_wNtnDYrgxy.dzFgVGNSydsmj5VF
12,13. Fixed Preposition,"07 Jun, 2024",https://us06web.zoom.us/rec/share/Jq0VOHTA5MCxdA47QiKBltnXZCxXhBigW7En-nm4caPx6c-6CqzzUD4woZFrKNMQ.Mwf17PD_fBjQ9fx0
13,14. English most important rules 1-4,"11 Jun, 2024",https://us06web.zoom.us/rec/share/wty_RkFfqyjnVLiXVkiKnTduGJpU6LN37NbpT6Wi17v9CrgrAMz2IaKSxwvXZ-t7.scGZxdYT0f3PTy2j
14,15. English most important rules 5-10,"12 Jun, 2024",https://us06web.zoom.us/rec/share/q1tBnGDLI5ovLl5smfCv54s_XlmwN99ZKQ4wJBLZQoGiWCkyfzNu9Zj9nSTXDeXw.dE9nlxEGEMf-TG5g
15,16. English most important rules 11-20,"14 Jun, 2024",https://us06web.zoom.us/rec/share/EGrzGPZuPMI95mLTXXBGbIqEYKBDdM5O_takuGX8XkvvoP0l9LBjaKgIsCKw5ZWn._R2yOhwnODXAV5CR
16,17. English most important rules 100-82,"16 Jun, 2024",https://us06web.zoom.us/rec/share/A_FDzb8g0w7NIdoCo7Vpa7IXbGn1lpWYz3yMpY6nC6uiRPUDXezYJA9O8wiFUXU7.efrDWcSbPGVuYJLr
17,18. English most important rules 81-50,"16 Jun, 2024",https://us06web.zoom.us/rec/share/A_FDzb8g0w7NIdoCo7Vpa7IXbGn1lpWYz3yMpY6nC6uiRPUDXezYJA9O8wiFUXU7.efrDWcSbPGVuYJLr
18,19. Spotting error 50 MCQ Practise,"19 Jun, 2024",https://us06web.zoom.us/rec/share/qGQg-tw6X3H04wN_EE79PzwZ6iIY70_fl6kmVlkirM1NI8LKnWy2NfPe1uFRe29G.Fz-JNkGtneyi5ARe
19,20. Root words - Mazedaar Class 1,"20 Jun, 2024",https://us06web.zoom.us/rec/share/rL6hOqkZOiunSAlkvitBdXoLrUWK7imSj-O7QW4HgVt7ioLwTNyxCuvd74zxgnZJ.BowxjaQ0ZytErePc
20,21. Root words ka khaatma,"21 Jun, 2024",https://us06web.zoom.us/rec/share/TWM8FjdhLUsOiV7fTF6FmxYjcwrb_op5wcuHrluKRRksv33qimPIIPZbtnj9KCyB.ja-AEbylxc2TjVRi
21,22. Synonyms Practise 1 + Root words revision,"24 Jun, 2024",https://us06web.zoom.us/rec/share/LjZRZBjFdu4I1TG0B6s2J_SL-vdALu8VckE3v2q8BvT8Jgcaa8kNnHNumQ4xF6B8.eFg_usxEMTs2rZn4
22,23. Error based practice - 2,"25 Jun, 2024",https://us06web.zoom.us/rec/share/NyfdFqoer0soSIOWAEdE_727fQDCibNdU_zuCRIBmIyKhSXKideqn-NPiSlUw_a9.1YzMrUwWWtybeO37
23,24. Comprehension + Fill-ups + Idioms Practice,"04 Jul, 2024",https://us06web.zoom.us/rec/share/T9xDCU2SvCTvhDkkMK3zpunO5kP53zGMbO4cuDVWCc8aSq9kynFW_2cUjag-pO4x.XEM3P6ZtGIDyxQuJ
24,25. New type fill-ups + Comprehension,"08 Jul, 2024",https://us06web.zoom.us/rec/share/qf0O09i6mm_YXj8Rz_ySEmkLlxE0YZC_5QwS-S8uxKDejiKM0FcgWWNscE9qvGft.jWHo5K9Am6Ue1JLs
25,26. Cloze test practice test,"11 Jul, 2024",https://us06web.zoom.us/rec/share/iyvifCwnWM9SqpFaDFqHNWCTHanbW4LsjweGMarKgzIJJ6J6IEKDpiyY2AdzvnI.y4Ssh39M3W0bhxsz
26,27. Idioms + Synonyms ka test,"12 Jul, 2024",https://us06web.zoom.us/rec/share/IXeXBDyoiDIxl22nhhsxjL1PLgUrWyDBnJTKa2oFHK189ZKmwkIfSq74zZ6b0A8.TDGxoHtEGnho-dnH
27,28. Correlating sentences - new pattern,"17 Jul, 2024",https://us06web.zoom.us/rec/share/7cHFBWY3sEasOwgYhbvZdLUHzVM5UQh1SgztvGfFuBXOpgwZhInb5f7JY-jnhKnD.Va9muh0tR8JVEk6s
28,29. High Level Comprehension + Cloze + Error,"19 Jul, 2024",https://us06web.zoom.us/rec/share/CC54ayK9txA7z95ruCpBk426hvG9GKSxPqOEeSGHTx1xisMrAdsVwNOEBl8pkHhz.sJ-OmiPHZ07ScGBk
