,class_names,class_date,class_link
0,1. Later Mughals + rise of independent states,"10 Jul, 2024",https://us06web.zoom.us/rec/share/DSoewylL9mu2RyKFRY12bHMn25br1vujKOgMDDfRx6FnD0Uro6d48mS5xu1n0Q5a.nD7UVLjBc_QbgPpK
1,2. Maratha Empire,"11 Jul, 2024",https://us06web.zoom.us/rec/share/DI4w_n8KRWgUI4HSz0xPTsJlBk5m1TOmqG8IeR5JPhQRy7R3pXLBmaj3rpKMs4_s.qCSmLbooTHvv4xlG
2,3. British Conquest,"12 Jul, 2024",https://us06web.zoom.us/rec/share/7u8EMmyADpwkaduXWmb4kLvfp2IqOozqCALdPl_JJ38TVMNK4lbblQ71lgjohM4J.rkkUToowz8pEUk0f
3,4. Wars fought by British,"13 Jul, 2024",https://us06web.zoom.us/rec/share/yr7vd1NAg5KvRAx1xWzMz5gIHld3Lfnwio4U1435tugn3m9caRik90L1Ocd_aMGT.ZPmBzUK4MlD1y3g-
4,5. British rule in India,"15 Jul, 2024",https://us06web.zoom.us/rec/share/VSfIuTsZRs3m_gZy1WyS2lzIeQmoCifbUz2nzyw4bfENS_O9RsHA453Q6siZBO0B.uM048PFHKzjTW7OS
5,6. Socio-Religious Reform Movement,"16 Jul, 2024",https://us06web.zoom.us/rec/share/NUWxcDVIeq4H56-WWVRAqzBhjEfwo_OT6VOqBizTdiX0c8rHWA1ZmZPIMr5gNW8D.hP1lR2IG4plGrPCK
6,7. Socio-religious reform movement - Class 2,"17 Jul, 2024",https://us06web.zoom.us/rec/share/8qN1507g8n_590eonbkzrfyKCSaMaksmFjTAf8wbf6opuuZlqIY6xqMhHYNlbYZx.ZpW826LfsfHTf21Q
7,8. Indian National Congress - Class 1,"18 Jul, 2024",https://us06web.zoom.us/rec/share/gmBPC4qcPUdIr91rLJsbJQeB8RB5AJ1lbEUMCM6Hbp8Anqjeh5AlU69vpMxklcl5.o7ejLS0NbL8iI_XW
8,9. Indian National Congress - Class 2,"19 Jul, 2024",https://us06web.zoom.us/rec/share/uwhJtnC-UPygxFk5U_3iKdP_RnzksUgdDrtc4q3dsq9TSC3dki2GxjuaaVC3F80L.JVrXQT6Nu5ZGwqgR
9,10. National Movement - Part 1,"22 Jul, 2024",https://us06web.zoom.us/rec/share/grurE5kvq_bV1z1lClheW-gX-AalV2BQZaaFaxwH3twdptHd2X9mp39_iLKZqmQw.FEpQ-l_92iQjpUBW
