,class_names,class_date,class_link
0,1. Introduction of Cell,"06 May, 2024",https://us06web.zoom.us/rec/share/ybr8MvnxjMLph2iwDXHCqFQeee9QcUkqEYGxvJpM_L8H7btxvIeBF4sfzUeN81w1.9t0MfPxPd7a4U8yd
1,2. Introduction of Cell - Class 2,"07 May, 2024",https://us06web.zoom.us/rec/share/z4tmoczwM_Q8zQeWvWWDJq5Qm14pgnekmZapEHo-GFwHZCIOqzSDvQ6zI_VPwnB5.dshf7BsXAsP3-QXJ
2,3. Cell (high level) - Class 3,"07 May, 2024",https://us06web.zoom.us/rec/share/JEVZq3P2rBoUfFl6J9j6pBx85t7wlXqdw2ly84vyYgsnmG3pXHuyuqP9PboTVGvX.J0bBjiPek12qOxMX
3,4. Plant tissue ki kahani,"08 May, 2024",https://us06web.zoom.us/rec/share/z2s36nqzqSliGk27o6fd4aQigqXDVoh24s-YQySQFNfh1-WLig5Jv7NlNFuUydIv.2ufFr6uHkx0EW_bb
4,5. Animal Tissue,"09 May, 2024",https://us06web.zoom.us/rec/share/s7C1QWd5Y9sPiyjqiLrxsAOTYzyJBhuPiqQufS0HSLQqAUoBXZc3t-Or6yzrVR8w.N4yxBX8_oNHGc0hW
5,6. Bimariyo ka ghar (High Level),"10 May, 2024",https://us06web.zoom.us/rec/share/0cIb19NXGFWz1SPzrR4gK4pOFLfGid8oT4JMHqFJAt2QqUHY-9qIJGHZHtG80cV_.-DaVe6uDadwUWKDJ
6,7. Nutrition,"10 May, 2024",https://us06web.zoom.us/rec/share/hfSWbGqeeCHFapsZF2D3YkZPtOpULhyWPYhUkGEA6OnYK6ahNTMl3j4tjS4AAzeK.zf_7l6slXZy5v3EZ
7,"8. Leucocyte, Erythrocyte and Dil ki baatein","11 May, 2024",https://us06web.zoom.us/rec/share/68UrMbmzgHNfZhbWI31qTKJJAHVd8PY6ixPh-08NeYt_NOqDviPYnIJIZDn4Nm00.bi5V7S4hx-XJjZGn
8,9. Kidney and Urine system,"14 May, 2024",https://us06web.zoom.us/rec/share/SHIkUAGahIbD8IkBpFbsZXQiQ5IUoUnt7YFuXIKGelXsuA5fc5GS3CxVYulVUbLf.I7HdhWWRHaAjKRrI
9,10. Larynx and pharynx - Respiratory system,"14 May, 2024",https://us06web.zoom.us/rec/share/KY3rpy3umYjvAWstU5WDxkQBOrtL4QXgWDGsivaT1ID9ayrIBF1RHyfr0_iF97_d.wZeDoxfznQeMpS1B
10,11. Hormones (basic + advanced),"15 May, 2024",https://us06web.zoom.us/rec/share/-Q6mIw-WcDit5tADPy9s5zFPDdViamciQh_8amcjKAyOpyRYz37hBysPbE7gph7T.1nr8QlSPhltk34d0
11,12. Asexual Reproduction,"16 May, 2024",https://us06web.zoom.us/rec/share/GToXAzqoVdYBUU1BAUL0_uUUnNR7yGTB0wlQAFxmxaThx-mmnmtqKqZQu1-nsFeV.afuGdSbOg4Rg2s61
12,13. Sexual Reproduction,"16 May, 2024",https://us06web.zoom.us/rec/share/yoQDR9g7iltHF1LJsCVHHJsJ4TsROXMlCceccdS0h6wJXoUSg3bRpjNeYxiSTvmS.wg8J6rIKJOcRjIUN
13,14. Blood group ki kahani,"17 May, 2024",https://us06web.zoom.us/rec/share/dKShnZX20RXbKsZMgBZFIVn26O83T7-tHxEM05xrSQZxrW1e5yanSFC8Mfew7vLl.VviDdmrdPy2vuecg
14,15. Monera + Protista + Fungi + Plantae,"20 May, 2024",https://us06web.zoom.us/rec/share/MSiRLvBaBUUN5PAXZZ3cmp-FGgKjgkDhxqKrzzzhIp924SBuudB_IUW_rNuJDSmC.eX5R2uY6eGpHRFng
15,16. Animalia Ji,"20 May, 2024",https://us06web.zoom.us/rec/share/wlUpZyyT00wC055bfcdAqYdGKlSwrr1uoKWJm1lGd-LUct4k1Fj56ZF9LrwpjT8Q.LHTqBWVEb-5KDlPh
