,class_names,class_date,class_link
0,1. Climatology - Albedo + Layers + Breeze,"12 Jun, 2024",https://us06web.zoom.us/rec/share/GqoeN3jwqQ5Kfms27qYG61Mawn3oV72yNLcX1NKqAj86nOqMmfjuiZKVlSm2fOgN.O_zR0zgnvHxWj6tp
1,2. Le jaaye tujhe kahan hawaayein,"13 Jun, 2024",https://us06web.zoom.us/rec/share/5A77Q0_lGEI8EB23Y1tIznKaia-RseHC9dBAWXGHa7ciq4naovZBT2bSNDmyRJZw.ftgYoaCoO0jaiTSv
2,3. Condensation + Clouds + Inversion,"14 Jun, 2024",https://us06web.zoom.us/rec/share/VOWmBv4xj3rN2h043yMRgo-06FKUHowq6vUHGnoLCdzMmW3CZzaNQwPHxoDEAzfS.WvB3xN2Aqi4-Dm2z
3,4. Fronts + Cyclone + Precipitation,"18 Jun, 2024",https://us06web.zoom.us/rec/share/KrVwZolfW9nTY8e5Dx-gj5YqzjeYMnbKm-ilex_JoiRgG2DD2_PB51hvV_4tuSrJ.vzSSA9yiZLxVHrWR
4,5. Oceanography basics + Ocean currents,"19 Jun, 2024",https://us06web.zoom.us/rec/share/BVFK7gAhiWmpfVAqeMeL0lY5B--GRh09vLa-HQmqSIp-mFR9IXAJlncgtCJXxoyX.AHFUyQqz_1xjyJIt
5,6. Tides and Coral ki Shaadi,"21 Jun, 2024",https://us06web.zoom.us/rec/share/q8UjfSgn0zay6QNZAGgIuD_dJ0KFeI_A65w0PwsU9Be-jqqCIaNfEbeVLp8g2984.3l9uKOhV5HlrWU_G
6,7. Interior of earth + earthquake,"24 Jun, 2024",https://us06web.zoom.us/rec/share/x8VBzieKP3-7TVYiaDkCB5393tjfz2Ji2tTcayZUbPEXfcYBxDnnKCQvRN-P0kCQ.hM7SZMHohzXK3ppW
7,8. Volcano Ji,"25 Jun, 2024",https://us06web.zoom.us/rec/share/dcTIsWpqVnlAnIr7rt1ICEYwveBn9GQDj2E8BxjWmwweETmVZjNU5O6WWcA9re1e.tgwVXHzMK08FEQJc
8,9. Landforms by running water + High level concepts,"26 Jun, 2024",https://us06web.zoom.us/rec/share/JRu7FTLmI9EP9LtFBDD7cXS4XK-RZXaYc9-sL7TlPQ3kKC9ckBsbNs2ALkagRdnF.E33qcdQiQUAuM0uL
9,10. Ground water landform + Sightseeing free me,"02 Jul, 2024",https://us06web.zoom.us/rec/share/5-6XtSR8rqicxn7bPI9-2I9Jnhg8Uh_3BUlqfxWnEqlGhCA5S8r6pPbDV6SbmYu8.7ksRBsOTeE93CYcu
10,"11. Landforms by glacier, sea waves & wind","03 Jul, 2024",https://us06web.zoom.us/rec/share/w7-eAlOypHnA1x6bPRmcakFMJW61pcm7dsvVzhT0MOeh4vcN7IzNvR_fxahAj2Nq.XoqNxdwfbZjGQ_QE
11,12. High level fog based questions,"04 Jul, 2024",https://us06web.zoom.us/rec/share/yC64fLUj3rnTxvwsg2MBwCxy_V3rbBfHAgE2Im8R3SlsEe9OiHnE-50bjvfGrcNh.8KvfHXWM0Lmmc6m2
12,13. Geography Revision Test,"04 Jul, 2024",https://us06web.zoom.us/rec/share/yC64fLUj3rnTxvwsg2MBwCxy_V3rbBfHAgE2Im8R3SlsEe9OiHnE-50bjvfGrcNh.8KvfHXWM0Lmmc6m2
