,class_names,class_date,class_link
0,1. Apna Desh - Indian Geo intro + Plains,"05 Jul, 2024",https://us06web.zoom.us/rec/share/2q0V276gXFvyBcNvBvUXHt1w-VLzmKFGOVX3PyuCJkuwkWMw6eo-pCInSo3S3fQT.SlqRJTRRLoauxwwx
1,2. Apna Himalayas and Passes,"06 Jul, 2024",https://us06web.zoom.us/rec/share/C5wdPR81HRd97gv3J4JAGV__KZ41uCBesWOhA078zJSmsuryrW3dyRvxBMHWQlnl.BNxOOwDH7wOe8yOx
2,3. Peninsular plateaus + Coast + Islands,"08 Jul, 2024",https://us06web.zoom.us/rec/share/613asMkSvfPL_OFW4aCxjwwswR9Hk-lFT1-FsODeevRRq0SDcvFA41jUDvfOPxLT.MIcbF3bbP72FEwr0
3,4. Drainage pattern + Indus River System,"09 Jul, 2024",https://us06web.zoom.us/rec/share/rJPd6hqQhCEDE1Ps6zaDhwDab9aTYxBKSACbXMPd6wu4LAQB0Qz04JJID8kY8Nyr.yX_UP7k3yHVOpd_U
4,5. Ganga + Brahmaputra + Peninsular rivers,"10 Jul, 2024",https://us06web.zoom.us/rec/share/Hl3VuNz_p82dnFozo_jwvYWks0i7TckM3W480EHqTsEDW1o6CvA863fsdDqo5twx.r0yB4v_vYf4BkGwp
5,6. Mitti ki khusboo + Banna ji se baat,"11 Jul, 2024",https://us06web.zoom.us/rec/share/SFWpjNebFMgD_ukEwj-Gbc0jBgwH7vWrEnGbjtsW6XqUI5vRSR9On2lsOyYmNk4-.3B0X8INCKlrLIFwU
6,7. Major crops + Agriculture based facts,"12 Jul, 2024",https://us06web.zoom.us/rec/share/MY7th0BnAsOsMRglJAOrl32NMXr62oPzZbXdeoNPKcoojmnCyCnD06bf7Cqb8EXu.x6ILUcH9LGJT_6Rz
7,8. Highways + Railways + Waterways,"12 Jul, 2024",https://us06web.zoom.us/rec/share/MY7th0BnAsOsMRglJAOrl32NMXr62oPzZbXdeoNPKcoojmnCyCnD06bf7Cqb8EXu.x6ILUcH9LGJT_6Rz
8,9. NDA 1 2024 Geography Questions discussion,"15 Jul, 2024",https://us06web.zoom.us/rec/share/ITsgVr7dGPfWOQ4br73he8_AJYDrKMTTbzixM56MVQUyMAFjHrySntCfQ2-Gg8Tc.5KnVTYp8QUuT8IVp
9,10. Monsoon + ITCZ + El-Nino + La-Nina,"16 Jul, 2024",https://us06web.zoom.us/rec/share/rMBst_QKl96qKTJo7IV9r1nojUpbo_u9IGsbOoiRx1E4HyltGO_iRpl41STbUMiu.7W_7hASnygrJHnUS
10,11. Koeppan Classification + Jet Streams,"17 Jul, 2024",https://us06web.zoom.us/rec/share/8jrOio4FUXIEpwyHwVThreWbX_lpyXlMnHlXjZaLgLK_EEfGc8zyT16FpumxwAGj.-2QJYxCKEH6osWMp
